Property reference number,Address,Postcode,Latitude,Longitude,Ratepayer,Billing Address,Rateable value,VOA code,VOA Description,Liability start date,Reliefs Granted,Discretionary Relief %,Discretionary Relief St Date,Mandatory Relief %,Mandatory Relief Start Date,Exemption_Granted,Exemption Start Date,Empty Rates,Empty Rates Start Date,Full Sbr,Buffer Sbr,Lower Multiplier,Occupied,Empty from
64400727,"Car Parking Space No 2, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2016-08-04,EX,,,,,Rateable Value below threshold,2016-11-04,,,,,,N,2016-11-04
64400728,"Car Parking Space No 20, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Rateable Value below threshold,2015-09-18,,,,,,N,2015-09-18
64400729,"Car Parking Space No 21, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64400730,"Car Parking Space No 22, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2017-04-02,EX,,,,,Rateable Value below threshold,2017-07-02,,,,,,N,2017-07-02
64400731,"Car Parking Space No 23, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-08,EX,,,,,Empty Property - RV < 15000,2018-05-08,,,,,,N,2018-05-08
64400732,"Car Parking Space No 24, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-08,EX,,,,,Empty Property - RV < 15000,2018-05-08,,,,,,N,2018-05-08
64400733,"Car Parking Space No 25, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-08,EX,,,,,Empty Property - RV < 15000,2018-05-08,,,,,,N,2018-05-08
64400734,"Car Parking Space No 1, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2015-06-18,EX,,,,,Empty Property - RV < 15000,2018-07-01,,,,,,N,2018-07-01
64400735,"Car Parking Space No 10, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
64400736,"Car Parking Space No 11, John Street, Halifax, HX1 1YA",HX1 1YA,53.7246,-1.86221,The Trustees Of B E Holmes Settlement Trust,"C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",600,C018,Car Parking Space,2018-02-15,EX,,,,,Rateable Value below threshold,2018-05-15,,,,,,N,2018-05-15
